 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
07.06.01	-         	Colocação E Instalação De Tapetes, Com Material Fornecido Pelo Tomador Do Serviço.	---	2.50		01/2026	12/2026	0706
07.06.02	-         	Colocação E Instalação De Carpetes, Assoalhos, Revestimentos De Parede, Pedras E Outros Revestimentos Com Material Fornecido Pelo Tomador Do Serviço.	---	2.50		01/2026	12/2026	0706
07.06.03	-         	Colocação E Instalação De Cortinas, Com Material Fornecido Pelo Tomador Do Serviço.	---	2.50		01/2026	12/2026	0706
07.06.04	-         	Colocação E Instalação De Vidros, Com Material Fornecido Pelo Tomador Do Serviço.	---	2.50		01/2026	12/2026	0706
07.06.05	-         	Colocação E Instalação De Divisórias, Forros, Com Material Fornecido Pelo Tomador Do Serviço.	---	2.50		01/2026	12/2026	0706
07.06.06	-         	Colocação E Instalação De Placas De Gesso E Congêneres, Com Material Fornecido Pelo Tomador Do Serviço.	---	2.50		01/2026	12/2026	0706
07.06.07	-         	Serviço De Marmoreiro.	---	2.50		01/2026	12/2026	0706
07.07.01	-         	Recuperação, Raspagem De Pisos E Congêneres.	---	3.00		01/2026	12/2026	0707
07.07.02	-         	Polimento De Pisos E Congêneres.	---	3.00		01/2026	12/2026	0707
07.07.03	-         	Lustração De Pisos E Congêneres.	---	3.00		01/2026	12/2026	0707
07.08.00	-         	Calafetação.	---	2.50		01/2026	12/2026	0708
07.09.01	-         	Varrição De Lixo, Rejeitos E Outros Resíduos Quaisquer.	---	3.50		01/2026	12/2026	0709
07.09.02	-         	Coleta De Lixo, Rejeitos E Outros Resíduos Quaisquer.	---	3.50		01/2026	12/2026	0709
07.09.03	-         	Coleta De Entulhos - Caçamba	---	3.50		01/2026	12/2026	0709
