Codigo;Descricao
105012;Serviços de transporte ferroviário de cargas
1050121;Serviços de transporte ferroviário de cargas a granel
105012110;Serviços de transporte ferroviário de cargas sólidas a granel
105012120;Serviços de transporte ferroviário de cargas líquidas, ou liquefeitas, a granel
105012130;Serviços de transporte ferroviário de cargas gasosas a granel
1050122;Serviços de transporte ferroviário de cargas geral, exceto em contêineres
105012210;Serviços de transporte ferroviário de carga solta, não unitizada
105012220;Serviços de transporte ferroviário de carga unitizada
105012230;Serviços de transporte ferroviário de carga frigorificada ou climatizada
1050123;Serviços de transporte ferroviário de cargas em contêineres
105012310;Serviços de transporte ferroviário de cargas em contêineres frigorificados ou climatizados
105012320;Serviços de transporte ferroviário de cargas em contêineres não frigorificados ou climatizados
1050124;Serviços de transporte ferroviário de cargas especiais
105012410;Serviços de transporte ferroviário de cargas vivas
10501242;Serviços de transporte ferroviário de produtos perigosos
105012421;Serviços de transporte ferroviário de combustíveis, lubrificantes e GLP, inclusive apresentados em botijões metálicos
105012422;Serviços de transporte ferroviário de produtos químicos perigosos, exceto lubrificantes e GLP
105012429;Serviços de transporte ferroviário de produtos perigosos não classificados em subposições anteriores
105012500;Serviços de transporte ferroviário de bens e valores
105012900;Serviços de transporte ferroviário de cargas não classificados em subposições anteriores
105013;Serviços de transporte de cargas por meio de dutos
105013100;Serviços de transporte de petróleo, gás natural e combustível por meio de dutos
105013200;Serviços de transporte de minérios por meio de dutos
105013900;Serviços de transporte de cargas por meio de dutos não classificados em subposições anteriores
10502;Serviços de transporte aquaviário de cargas
105021;Serviços de transporte aquaviário por navegação interior de cargas
1050211;Serviços de transporte aquaviário por navegação interior de cargas a granel
105021110;Serviços de transporte aquaviário por navegação interior de cargas sólidas, a granel
105021120;Serviços de transporte aquaviário por navegação interior de cargas líquidas, ou liquefeitas, a granel
105021130;Serviços de transporte aquaviário por navegação interior de cargas gasosas a granel
1050212;Serviços de transporte aquaviário por navegação interior de carga geral, exceto em contêineres
105021210;Serviços de transporte aquaviário por navegação interior de carga solta, não unitizada
105021220;Serviços de transporte aquaviário por navegação interior de carga unitizada
105021230;Serviços de transporte aquaviário por navegação interior de carga frigorificada ou climatizada
1050213;Serviços de transporte aquaviário por navegação interior de cargas em contêineres
105021310;Serviços de transporte aquaviário por navegação interior de cargas em contêineres frigorificados ou climatizados
105021320;Serviços de transporte aquaviário por navegação interior de cargas em contêineres não frigorificados ou climatizados
1050214;Serviços de transporte aquaviário por navegação interior de cargas especiais
105021410;Serviços de transporte aquaviário por navegação interior de cargas vivas
105021420;Serviços de transporte aquaviário por navegação interior de mudanças domésticas e de mobília e outros objetos de escritório
105021430;Serviços de transporte aquaviário por navegação interior de cargas de grande porte
105021440;Serviços de transporte aquaviário por navegação interior de veículos
10502145;Serviços de transporte aquaviário por navegação interior de produtos perigosos
